time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,month,year,date
2019-08-02 12:03:27.001000+00:00,-7.2822,104.7907,49.0,6.9,mw,,23.0,2.839,0.76,us,us60004zhq,2024/12/17 04:45:42.720+00,"152 km SW of Labuan, Indonesia",earthquake,7.0,1.9,0.043,51.0,reviewed,us,us,8,2019,2019-08-02
1954-07-03 22:31:27.020000+00:00,-6.624,105.447,60.0,6.82,mw,,,,,iscgem,iscgem890812,2022/04/26 17:44:40.650+00,"50 km WSW of Labuan, Indonesia",earthquake,,5.2,0.43,,reviewed,iscgem,iscgem,7,1954,1954-07-03
1913-08-13 04:25:42.330000+00:00,-6.746,105.213,35.0,6.63,mw,,,,,iscgem,iscgem914089,2022/04/26 00:09:43.553+00,"79 km WSW of Labuan, Indonesia",earthquake,,30.2,0.23,,reviewed,iscgem,iscgem,8,1913,1913-08-13
2022-01-14 09:05:41.461000+00:00,-6.86,105.2887,33.0,6.6,mw,,22.0,2.418,0.54,us,us7000gbu4,2025/01/05 02:11:45.617+00,"80 km SW of Labuan, Indonesia",earthquake,3.5,1.7,0.063,24.0,reviewed,us,us,1,2022,2022-01-14
1999-12-21 14:14:57.610000+00:00,-6.845,105.555,56.0,6.5,mw,,,,1.03,us,usp0009k3r,2022/04/29 19:35:14.014+00,"59 km SSW of Labuan, Indonesia",earthquake,,,,,reviewed,us,us,12,1999,1999-12-21
1923-05-12 01:20:09.470000+00:00,-6.904,105.265,25.0,6.45,mw,,,,,iscgem,iscgem911366,2022/04/25 23:35:33.571+00,"85 km SW of Labuan, Indonesia",earthquake,,30.3,0.2,,reviewed,iscgem,iscgem,5,1923,1923-05-12
1971-05-04 02:04:32.450000+00:00,-6.564,105.407,45.0,6.44,mw,,,,,iscgem,iscgem784056,2022/04/26 21:15:00.317+00,"51 km WSW of Labuan, Indonesia",earthquake,,5.0,0.23,,reviewed,iscgem,iscgem,5,1971,1971-05-04
1997-03-17 08:05:48.410000+00:00,-6.614,105.514,33.0,6.4,mw,,,,1.1,us,usp0007yym,2022/04/29 16:46:21.736+00,"43 km SW of Labuan, Indonesia",earthquake,,,,,reviewed,us,hrv,3,1997,1997-03-17
1931-01-18 13:11:31.860000+00:00,-7.753,105.345,35.0,6.27,mw,,,,,iscgem,iscgem906577,2022/04/25 22:11:54.399+00,"157 km WSW of Pelabuhanratu, Indonesia",earthquake,,25.0,0.25,,reviewed,iscgem,iscgem,1,1931,1931-01-18
1930-06-19 13:27:03.950000+00:00,-6.656,104.598,15.0,6.1,mw,,,,,iscgem,iscgem907458,2022/04/25 22:29:45.335+00,"139 km WSW of Labuan, Indonesia",earthquake,,15.2,0.2,,reviewed,iscgem,iscgem,6,1930,1930-06-19
2009-10-16 09:52:50.830000+00:00,-6.534,105.223,38.0,6.1,mw,388.0,15.2,,1.02,us,usp000h325,2023/03/17 00:20:52.893+00,"69 km WSW of Labuan, Indonesia",earthquake,,,,,reviewed,us,us,10,2009,2009-10-16
